# time | thumb index middle ring little (distal/middle/proximal) | palm: thenar hypothenar center distal_radial distal_ulnar heel_radial heel_ulnar | evidence
# c = visually inferred contact with an external surface, n = visually not contacting, u = unresolved. c is NOT a force measurement. Cloth/table ambiguity stays u.
61.5|ccu ccu ucu uuu uuu|uuucunn|Edge tension and enclosed fingers support localized grasp while laying shirt.
62|ccu ccc ccc ccu ccu|cucccun|Glove lies on folded shirt, including little pad; heel compression not visible.
62.5|uuu ccc ccc ccu uuu|cuccuuu|Radial fingers supported by cloth; outer glove near table edge remains unresolved.
63|uuu ccu ccu ucu uuu|uuucuuu|Tips overlap cloth and thumb/heel over bare table; table contact not established from overlap.
63.5|ccu ccu ccu ucu uuu|uuucunn|Right fingers curl around near hem, localized grip rather than full palm press.
64|ccu ccu ccu ucu uuu|uuucunn|Hem lifted at thumb and curled inner fingers, little contact hidden.
64.5|ccu ccu ucu uuu uuu|uuuuunn|Fold raised between two opposed grips; no broad palm support asserted.
65|uuu uuu uuu uuu uuu|uuuuuuu|Open glove descends after placing fold; motion blur prevents exact contact onset.
65.5|ccu ccc ccc ccu uuu|cuccuuu|Flattening contact on cloth at thumb/index/middle; outer table-side pads unresolved.
66|ccu ccc ccc ccu uuu|cuccuuu|Hand stabilizes folded shirt; little lies near cloth/table boundary, not assumed pressure-free.
66.5|ucu ccc ccc ccu ccu|uucccun|Fold lifted against right fingers and upper palm; little pad supported by cloth edge.
67|ccu ccc ccc ccc ccu|cccccun|Broad right-hand support on folded bundle while left carries opposite side.
67.5|ccu ccc ccc ccc ccu|cccccun|Spread hand smooths stack, including outer fingers and upper ulnar palm.
68|nnn nnn nnn nnn nnn|nnnnnnn|Hand lifted clear while traveling toward next garment.
68.5|uuu uuu uuu uuu uuu|uuuuunn|Open glove approaches green pile; overlap alone does not prove contact.
69|uuu uuu uuu nnn nnn|uuuuunn|Inner digits approach pile but no clear deformation; outer fingers visibly above table.
69.5|uuu uuu uuu nnn nnn|uuuuunn|Right waits while left gathers waistband; inner contact still unresolved.
70|uuu uuu nnn nnn nnn|uuuuunn|Most glove remains open above surface, thumb/index nearest edge unconfirmed.
70.5|ccn ccu uuu nnn nnn|nnnuunn|Thumb and index begin taking waistband, outer fingers extended clear.
71|ccu ccu ccu ucu uuu|uuuuunn|Waistband stretched between grips, inner curled pads support it.
71.5|ccu ccu ccu ucu uuu|uuuuunn|Closed edge grip retained; palm center and little contact hidden.
72|ccu ccu ccu ucu uuu|uuuuunn|Elastic tension supports localized thumb and inner-finger contact.
72.5|ccu ccu ccu ucu uuu|uuuuunn|Same waistband grip but hidden pads remain unknown, not inherited certainty.
73|ccu ccu ccu ucu uuu|uuuuunn|Waistband corners move together under enclosed right grip.
73.5|ccu nnu ccu ucu uuu|uuuuunn|Index starts extending over gathered band; distal/middle index not assigned contact.
74|ccu nnu ccu ccu uuu|cuuuunn|Gathered band held under raised index by other digits and thumb-side palm.
74.5|ccu nnu ccu ccu uuu|cuuuunn|Index remains extended above rolled band; exact index base and little pad concealed.
75|ccu nnn ccu ccu nnn|cuuuunn|Native-resolution detail: BOTH index and little extended clear, middle/ring retain band with thumb.
75.5|ccu ucu ccu ucu nnn|cuuuunn|Little stays raised; index begins curling near band, tip occluded not presumed pressing.
76|ccu ccu ccu ucu nnn|uuuuunn|Inner fingers regrip stretched band; little still lifted away.
76.5|ccu ccu ccu ucu nnn|uuuuunn|Band lowered in enclosed inner-finger grip, visibly raised little remains off.
77|ccu ccu ccu ucu nnn|uuuuunn|Waistband laid down; little elevated while inner fingers still stabilize edge.
77.5|ccu ccu ccu ucu nnn|uuucunn|Curling inner pads stabilize waistband on table, little remains raised.
78|ccu ccu ccu ucu nnn|uuucunn|Inner pads hold waistband, little still conspicuously lifted.
78.5|ccu ccu ccu ucu uuu|uuuuunn|Band lifted for next fold, little curls out of view rather than proving contact.
79|ccu ccu ccu ucu uuu|uuuuunn|Fold carried by enclosed inner-finger grip; outer pad hidden.
79.5|ccu ccc ccc ccc ccu|cccccun|Spread-hand flattening on green fold includes little and broad upper palm.
80|ccu ccc ccc ccc ccu|cccccun|Stable flat support, all fingers on garment, heel extent unclear.
80.5|ccu ccc ccc ccc ccu|cccccun|Right hand holds flat fold while left lifts edge; outer digits remain supported.
81|ccu ccu ccu ucu uuu|cuucunn|Rolled waistband lifted, thumb and radial palm oppose curled fingers.
81.5|ccu ccu ccu ucu uuu|cuucunn|Gathered bundle supported by thumb-side palm and inner digits; heel clear.
82|ccu ccu ccu ucu uuu|uuucunn|Bundle placed on stack, glove still curled before flattening.
82.5|ccu ccc ccc ccc ccu|cccccun|Clear broad press on stacked green cloth with little finger included.
83|ccu ccc ccc ccc ccu|cccccun|Flat hand remains supported by stack; no reason to exclude little pad.
83.5|uuu uuu uuu uuu uuu|uuuuuuu|Hand begins withdrawing; image overlap cannot establish continued full contact.
84|nnn nnn nnn nnn nnn|nnnnnnn|Open glove clearly suspended between piles.
84.5|nnn nnn nnn nnn nnn|nnnnnnn|Right hand hovers while left searches satin garment edge.
85|nnn nnn nnn nnn nnn|nnnnnnn|Glove remains open above satin; fabric moves with left hand, not right glove.
85.5|nnn nnn nnn nnn nnn|nnnnnnn|Persistent hovering configuration, no supported right contact.
86|uuu uuu uuu uuu uuu|uuuuunn|Approach to gathered satin begins; onset unresolved.
86.5|ccu ccu ucu uuu uuu|uuuuunn|Satin edge now visibly enclosed by opposed thumb/index grip.
87|ccn ccu ucu uuu uuu|uuuuunn|Right supports satin side edge while left raises waistband; outer pads hidden.
87.5|ccu ccu ccu ucu uuu|uuuuunn|Waistband stretched, thumb visibly presses near face against curled inner fingers.
88|ccu ccu ccu ucu uuu|uuuuunn|Inner-finger grip retains elastic, no evidence of broad heel contact.
88.5|ccu ccu ucu uuu uuu|uuuuunn|Corners brought together with localized grip; folded cloth occludes outer digits.
89|ccu ccu ucu uuu uuu|cuucunn|Rolled waistband supported against thumb-side palm and inner pads.
89.5|ccu ccu ccu ucu uuu|cuucunn|Gathered band held by opposed thumb/inner fingers, palm support localized radially.
90|ucu nnu nnn nnn nnn|uuuuunn|Right opens with four tips raised; thumb near band but exact palm interface unresolved.
90.5|ccu ccu ccu ucu nnn|uuuuunn|Inner fingers regrip while little stays extended clear.
91|ccu ccu ccu ucu nnn|uuuuunn|Elastic held taut; lifted little not included in inferred grip.
91.5|ccu ccu ccu ucu nnn|uuuuunn|Garment raised, thumb and inner fingers hold band, little remains up.
92|ccu ccu ccu ucu nnn|uuuuunn|Raised little visibly clear of band; hidden proximal inner pads unresolved.
92.5|ccu ccu ccu ucu nnn|uuuuunn|Same supported waistband grasp with no little contact.
93|ccu ccu ccu ucu nnn|uuuuunn|Inner grip retained, little still elevated; palm heel away from fabric.
93.5|ccu ccu nnn nnn nnn|uuuuunn|Middle/ring/little extend clear while thumb and index retain edge.
94|ccu ccu nnn nnn nnn|uuuuunn|Outer three digits stay raised; only opposed inner pinch supports band.
94.5|ccu ccu nuu nnn nnn|uuuuunn|Lowering band with inner grip, middle tip visibly clear but base obscured.
95|uuu uuu uuu uuu uuu|uuuuuuu|Grip drops below useful image boundary; contacts not extrapolated from prior pose.
95.5|ccu ccu ucu uuu uuu|uuuuunn|Thumb visible on near face of waistband, opposed inner fingers concealed behind edge.
96|ccu ccu ccu ucu uuu|uuuuunn|Band lifted to fold, opposed thumb and inner pads carry edge.
96.5|ccu ccc ccc ccu ucu|cucccun|Open glove smooths wrinkled satin, little middle pad supported but tip boundary unclear.
97|ucu ucu ucu ucu uuu|uucccun|Moving smoothing stroke; contact under proximal pads plausible, blurred tips unresolved.
97.5|ccu ccc ccc ccc ccu|cccccun|Stable flat support on satin; include little and ulnar palm.
98|ccu ccc ccc ccc ccu|cccccun|Hand remains flat on cloth, broad contact footprint not isolated fingertips.
98.5|ccu ccc ccc ccu ccu|cucccun|Smoothing lower along leg, contact spans finger pads and upper palm.
99|uuu ccu ccu ucu uuu|uuucuuu|Glove reaches lower hem; thumb and heel over table remain uncertain, not cloth contact.
99.5|ccu ccu ccu ucu uuu|uuucunn|Curled inner fingers gather lower hem before lifting.
100|ccu ccu ccu ucu uuu|uuuuunn|Hem lifts with opposed thumb and curled fingers; broad palm clear.
100.5|ccu ccu ccu ucu uuu|uuuuunn|Fold held raised, outer hidden pads cannot be assigned precisely.
101|ucu uuc uuc uuc uuu|uucccun|Fold placed under finger bases; distal tips extend beyond cloth and table contact is uncertain.
101.5|ccu ccc ccc ccc ccu|cccccun|Flat press after folding, all fingers including little lie on satin.
102|ccu ccu uuu uuu uuu|cuucuuu|Glove slides toward right border; radial pads on cloth, outer pads near bare table unresolved.
102.5|ccu ccu ucu uuu uuu|uuucunn|Thumb and curled inner digits gather satin near right edge.
103|ccu ccu nnn nnn nnn|nnnuunn|Thumb/index retain cloth corner while outer three fingers extend visibly away.
103.5|ccu ccu ucu uuu uuu|uuucunn|Outer digits curl back under folded edge; only inner support is localized confidently.
104|ccu ccu ucu uuu uuu|cuucunn|Fold held at thumb-side palm and inner fingers, hidden outer pads unasserted.
104.5|ccn ccu uuu uuu uuu|uuuuunn|Cloth lowered onto stack; thumb visibly presses near face, opposing pads partly cropped.
105|ccu ccu uuu uuu uuu|cuucuuu|Thumb and index-side glove stabilize satin edge; outside fingers/palm support unclear.
105.5|ccu ccc ccu uuu uuu|cuccuuu|Radial hand lies on folded satin; ring/little at cloth-table boundary not confidently assigned.
106|ccu ccc ccu uuu uuu|cuccuuu|Thumb/index/middle supported on cloth; outer surfaces partly hidden by side view.
106.5|ccu ccc ccu uuu uuu|cuccuuu|Stable radial support continues; no blanket whole-palm or little activation.
107|ccu ccc ccu uuu uuu|cuccuuu|Glove remains at satin border; distinguish supported inner pads from ambiguous outer pads.
107.5|ccu ccc ccu uuu uuu|cuccuuu|Same visible radial support, exact heel and outer-finger contacts unresolved.
108|ccu ccc ccu uuu nnn|cuccuuu|Little spreads visibly beyond edge before lift; thumb/inner fingers still overlap supported cloth.
108.5|nnn nnn nnn nnn nnn|nnnnnnn|Both hands lifted open clear of final stack.
109|nnn nnn nnn nnn nnn|nnnnnnn|Raised open glove far from cloth and table.
109.5|nnn nnn nnn nnn nnn|nnnnnnn|All fingers and palm suspended with visible separation.
110|nnn nnn nnn nnn nnn|nnnnnnn|Final raised open hand, no external contact.
